Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
8 anthems on 8 threads/1 workers,0.39107630482612876,0.3865516641162685,0.3982237428717781,6.759271566407494e-3,7.184135842457796e-4,8.61235735146651e-3
8 anthems on 8 threads/2 workers,0.21689351028536394,0.21360345201230505,0.22044523714349554,4.3279320971826105e-3,2.818848487396261e-3,6.9877437993636805e-3
8 anthems on 8 threads/3 workers,0.1353015210071005,0.1329703439530498,0.1370459022427288,2.939891243018756e-3,1.8747922672070422e-3,3.939925747455868e-3
8 anthems on 8 threads/4 workers,0.13328175462783767,0.1322668811980596,0.13447443002126722,1.8695357597206493e-3,1.1925950666108432e-3,2.5428504497394745e-3
8 anthems on 8 threads/5 workers,0.11987357056695189,0.11820143284669377,0.12570316765340978,4.061816744357323e-3,2.306825601419528e-3,5.449537472230407e-3
8 anthems on 8 threads/6 workers,0.11897580210936126,0.11759312962021795,0.12076151494961994,2.4969563424396797e-3,1.6977339168391303e-3,3.8816783160628885e-3
8 anthems on 8 threads/7 workers,0.11845991371696332,0.11719802801079432,0.12006254495021754,2.5722912006774018e-3,1.5537108186961708e-3,3.400846032557468e-3
8 anthems on 8 threads/8 workers,0.11804008891220812,0.11597434853501909,0.12136506362257933,4.024011661605837e-3,1.940173939989704e-3,5.607877857272071e-3
