Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
8 anthems on 8 threads/1 workers,1.8684831761991844e-7,1.853302398328128e-7,1.890548313330609e-7,6.090996667061753e-9,4.897748020554838e-9,7.784182946960637e-9
8 anthems on 8 threads/2 workers,1.8152342538269537e-7,1.80483378001796e-7,1.8277071826312507e-7,3.795965778362324e-9,2.9976005726890748e-9,5.357028725286987e-9
8 anthems on 8 threads/3 workers,1.814117497801968e-7,1.8055819054271515e-7,1.829618654913569e-7,3.7744052920156786e-9,2.775856506369926e-9,5.9059456407216384e-9
8 anthems on 8 threads/4 workers,1.8236091915549375e-7,1.813608178762197e-7,1.83642101175495e-7,3.7019765893849734e-9,2.9876224414843725e-9,4.511431593074992e-9
8 anthems on 8 threads/5 workers,1.8405459882654985e-7,1.824716827102757e-7,1.8686834699904636e-7,6.819276081320668e-9,4.941586553031514e-9,9.451474734520714e-9
8 anthems on 8 threads/6 workers,1.8541450993161317e-7,1.8311842450602883e-7,1.8749109028733904e-7,6.62002954178189e-9,5.256133948744574e-9,8.920309904574738e-9
8 anthems on 8 threads/7 workers,1.8582856482216903e-7,1.8295058341021001e-7,1.9328188896301104e-7,1.3487548356181177e-8,6.151221815593011e-9,2.4003011315506654e-8
8 anthems on 8 threads/8 workers,2.0015273706948098e-7,1.956738291254059e-7,2.1030994254414157e-7,1.8588974187917638e-8,1.1671430570789214e-8,2.8826886670142998e-8
